trait_id,entity_type,biology_score,physics_score,materials_score,chemistry_score,growth_score,score,passed,source,location,temperature_max,simulated_at
T_2427391636288,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,PDB,,0.0,2026-05-03T11:04:06.396289
T_2427392077760,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,PDB,,0.0,2026-05-03T11:04:06.402669
T_2427392075072,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,PDB,,0.0,2026-05-03T11:04:06.408993
T_2427392073024,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,PDB,,0.0,2026-05-03T11:04:06.416878
T_2427392071552,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,PDB,,0.0,2026-05-03T11:04:06.421744
T_2427392069568,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,PDB,,0.0,2026-05-03T11:04:06.426772
T_2427392068288,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,PDB,,0.0,2026-05-03T11:04:06.432868
T_2427392066944,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,PDB,,0.0,2026-05-03T11:04:06.437961
T_2427392065984,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,PDB,,0.0,2026-05-03T11:04:06.443621
T_2427392069312,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,PDB,,0.0,2026-05-03T11:04:06.448997
T_2427392079552,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,ChEMBL,,0.0,2026-05-03T11:04:06.454381
T_2427392074240,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,ChEMBL,,0.0,2026-05-03T11:04:06.459377
T_2427392076224,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,ChEMBL,,0.0,2026-05-03T11:04:06.464807
T_2427392077120,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,ChEMBL,,0.0,2026-05-03T11:04:06.469307
T_2427392078656,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,ChEMBL,,0.0,2026-05-03T11:04:06.474475
T_2427392080064,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,ChEMBL,,0.0,2026-05-03T11:04:06.479676
T_2427392081472,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,ChEMBL,,0.0,2026-05-03T11:04:06.484178
T_2427392154880,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,ChEMBL,,0.0,2026-05-03T11:04:06.488578
T_2427392151616,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,ChEMBL,,0.0,2026-05-03T11:04:06.493608
T_2427392150784,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,ChEMBL,,0.0,2026-05-03T11:04:06.498270
T_2427392156224,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,AFLOW,,0.0,2026-05-03T11:04:06.502832
T_2427392157760,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,AFLOW,,0.0,2026-05-03T11:04:06.507913
T_2427392159808,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,AFLOW,,0.0,2026-05-03T11:04:06.512828
T_2427392161536,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,AFLOW,,0.0,2026-05-03T11:04:06.517346
T_2427392163584,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,AFLOW,,0.0,2026-05-03T11:04:06.521969
T_2427392147712,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,AFLOW,,0.0,2026-05-03T11:04:06.526795
T_2427392148224,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,AFLOW,,0.0,2026-05-03T11:04:06.531515
T_2427392148736,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,AFLOW,,0.0,2026-05-03T11:04:06.536492
T_2427392149248,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,AFLOW,,0.0,2026-05-03T11:04:06.541268
T_2427392150528,,0.988526,0.65446,0.67819,0.68959,0.989176,0.765947,True,AFLOW,,0.0,2026-05-03T11:04:06.545889
